ID,Continent,region,country,isoCode,sids,ots,name_descriptor,year_publication,scale_(EAA),oceanAccountComponent,OA_component,environmentalAssets,flowsToEconomy,oceanEconomy,flowsToEnvironment,governance,Compiling_SEEA_CF,Compiling_SEEA_EA,EcosystemExtent,EcosystemCondition,EcosystemServices,MonetaryAccounts,SatelliteAccount,OceanEconomyActivities,SectorSpecific,OESA,BlueEconomy,OceanTourismSatelliteAccount,Links,Links_2,Links_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Africa,,Ghana,GHA,,,Pilot project - GOAP support,Ongoing,Local,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Africa,West Africa,"Benin, Côte d’Ivoire, Ghana, Guinea, Mauritania, São Tomé and Príncipe, Senegal, and Togo. - in the report only Nigeria, Ghana and Guinea",,,,West Africa Coastal Areas Management (WACA) program,ongoing-reported in 2021,Regional,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,,Yes,,Yes,Yes,,,,,,,https://www.wavespartnership.org/en/knowledge-center/gps-annual-report-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Africa,,Kenya,KEN,,,Pilot project - GOAP support,Ongoing,Local,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Africa,,Liberia,LBR,,,Conservation and Sustainable use of Liberia’s Coastal Natural Capital,2016,Local,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,,Yes,,,,,,,,,,https://www.thegef.org/projects-operations/projects/9573,https://www.conservation.org/docs/default-source/gef-documents/nca-liberia/liberia-nca_project-progress-achievement-_year-1-(2020---june-2021).pdf?sfvrsn=e11d3347_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Africa,,Madagascar,MDG,,,WAVES - Madagascar Country,2015,National,Environmental-Economic,Flows to economy,No,Yes,No,No,No,Yes,,Yes,,,,,,,,,,https://www.wavespartnership.org/sites/waves/files/images/NCA%20and%20mgt%20of%20the%20Malagasy%20fisheries%20sector%20FINAL%2008_03_13.docx,https://www.wavespartnership.org/sites/waves/files/images/Country%20Report%20Madagascar.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Africa,,Madagascar,MDG,,,Pilot project - GOAP support,Ongoing,Local,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Africa,,Mauritius,MUS,yes,,Experimental ecosystem natural capital accounts Mauritius case study,2014,National,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,,Yes,Yes,,,,,,,,,https://projects.eionet.europa.eu/leac/library/case_study_mauritius/enca_mauritius_ioc2014/download/en/1/ENCA_Mauritius_IOC2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Africa,,Morocco,MAR,,,WAVES - Fisheries accounts,2021,National,Environmental-Economic,Flows to economy,No,Yes,No,No,No,Yes,,,,,,,,,,,,https://www.wavespartnership.org/en/knowledge-center/gps-annual-report-2020,https://www.worldbank.org/en/news/feature/2021/03/08/accounting-natural-capital-in-mena-shifts-policies-towards-sustainable-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Africa,,Mozambique,MOZ,,,Pilot project - GOAP support,Ongoing,Local,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Africa,,Seychelles,SYC,yes,,"Blue economy satellite accounts a comparative analysis of the blue economy in Seychelles, Saint Lucia and the Bahamas",2020,National,Ocean economic activity,Ocean Economy,No,No,Yes,No,No,,,,,,,Yes,Yes,,,BESA,,https://www.uneca.org/sites/default/files/SROs/BESA%20Draft%20Working%20Paper.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Africa,,South Africa,ZAF,,,South Africa Ocean Accounts,Ongoing,Local,"Environmental-Economic, Ocean economic activity and Novel social, risk and governance accounts",Environmental assets,Yes,No,No,No,No,,Yes,Yes,,,,,,,,,,https://www.oceanaccounts.org/south-african-ocean-accounts-project/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Africa,,South Africa,ZAF,,,Fishery Accounts for South Africa: 1990–2011,2013,National,Environmental-Economic,Flows to economy,No,Yes,No,No,No,Yes,,,,,,,,,,,,http://www.statssa.gov.za/publications/D04050/D040502011.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Africa,,South Africa,ZAF,,,Experimental ecosystem accounts for South Africa's estuaries,2020,National,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,Yes,Yes,Yes,Yes,Yes,,,,,,,http://opus.sanbi.org/bitstream/20.500.12143/7203/1/CSIR_National_Estuaries_Ecosystem_Accounts_CSIR_SPLA_SECO_IR_2020_0026_A_23Oct2020.pdf,https://teebweb.org/wp-content/uploads/2022/08/ncaves_-_sth_africa_-_country_report_-_final_web_ready.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,America,Latin America,Guatemala,GTM,,,WAVES - Fisheries accounts,First report in 2009. Last 2019,National,Environmental-Economic,Flows to economy,No,Yes,No,No,No,Yes,,,,,,,,,,,,https://seeagt.github.io/report/fisheries/,http://www.infoiarna.org.gt/wp-content/uploads/2017/11/CuentadeRecursosPesquerosyAcucolas.Basestericasconceptualesymetodolgicas.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,America,Latin America,Mexico,MEX,,,Mexico fisheries account,ongoing work,National,Environmental-Economic,Flows to economy,No,Yes,No,No,No,Yes,,,,,,,,,,,,https://seea.un.org/content/mexico-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,America,Latin America,Mexico,MEX,,,Pilot testing the SEEA-EEA framework in Mexico: Coastal protection by mangrove ecosystems,2020,National,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,,Yes,,Coastal protection,Yes,,,,,,,https://seea.un.org/sites/seea.un.org/files/documents/Mexico_reports/report_on_pilot_testing_the_seea-eea_framework_in_mexico_coastal_protection_final_for_web.pdf,https://seea.un.org/content/mexico-0,https://www.inegi.org.mx/investigacion/cem/2018/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,America,Latin America,Colombia,COL,,,"Accounting of marine and coastal ecosystems at the Ramsar Site, Estuarine Delta System of the Magdalena River, Ciénaga Grande de Santa Marta, Colombia",2023,Local,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,Yes,Yes,Yes,Physical and monetary flow,Yes,,,,,,,https://oneecosystem.pensoft.net/article/98852/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,America,Latin America,Costa Rica,CRI,,,Pilot project - GOAP support,Ongoing,Local,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,America,Latin America & Caribbean,Guiana Shield,,,,Ecosystem natural capital accounting in the Guiana Shield in 2000 and 2015,2016,Regional,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,Yes,Yes,Yes,,,,,,,,,https://www.wwf.fr/sites/default/files/doc-2022-11/Ecosystem%20Natural%20Capital%20Accounting%20in%20the%20Guiana%20Shield%20-%20ECOSEO%20Project.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,America,Latin America & Caribbean,Mesoamerican reef,,,,"Economic Valuation of the Ecosystem Services of the Mesoamerican Ree f, and the Allocation and Distribution of these Values",2021,Regional,Environmental-Economic,Flows to economy,No,Yes,No,No,No,,Yes but TEV,,Partially,Fish; recreation; coastal protection;,Yes,,,,,,,https://publications.iadb.org/publications/english/viewer/Economic-Valuation-of-the-Ecosystem-Services-of-the-Mesoamerican-Reef-and-the-Allocation-and-Distribution-of-these-Values.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,America,Caribbean,Anguilla,AIA,,yes,"Natural Capital
 Accounting",2019,UK Overseas Territories,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,yes,Yes,yes,Physical and monetary flow,yes,,,,,,,https://data.jncc.gov.uk/data/62e82176-5053-4733-bd05-e33b15bbf88c/ot-nca-sup-sat-19-ang-nca-jun-2019.pdf,"http://gov.ai/documents/Anguilla%20Ecosystem%20Account%20Draft%20Press%20Release%20December%2031,%202021.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,America,Caribbean,Montserrat,MSR,,yes,"Natural Capital
 Accounting",2019,UK Overseas Territories,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,yes,Yes,,Physical and monetary flow,yes,,,,,,,https://statistics.gov.ms/wp-content/uploads/2022/04/Montserrat_2019-ecosystem-account_Final-Report-July2021-reissued.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,America,Caribbean,Turks and Caicos,TCA,,yes,"Natural Capital
 Accounting",2019,UK Overseas Territories,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,yes,Yes,,Physical and monetary flow,yes,,,,,,,https://hub.jncc.gov.uk/assets/0766c05e-0cfb-4510-81cd-b768701bce32#ot-nca-sup-cbn-21-TCI-nca-jun-2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,America,Caribbean,British Virgin Islands,VGB,,yes,"Natural Capital
 Accounting",2019,UK Overseas Territories,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,yes,Yes,,Physical and monetary flow,yes,,,,,,,https://bvi.gov.vg/sites/default/files/resources/virgin_islands_2019_ecosystem_account_summary_1.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,America,Caribbean,Belize,BLZ,yes,,Pilot project - GOAP support,,Local,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,America,Caribbean,Grenada,GRD,yes,,Marine and coastal accounts for Small Island Developing States: A case study and application,2022,National,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,Yes,Yes,partially (only seagrass),Physical and monetary flow,yes,,,,,,,https://doi.org/10.3897/oneeco.7.e84865,https://oneecosystem.pensoft.net/article/84865/download/pdf/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,America,Caribbean,Bahamas,BHS,yes,,"Blue economy satellite accounts a comparative analysis of the blue economy in Seychelles, Saint Lucia and the Bahamas",2020,National,Ocean economic activity,Ocean Economy,No,No,Yes,No,No,,,,,,,Yes,Yes,,,BESA,,https://www.uneca.org/sites/default/files/SROs/BESA%20Draft%20Working%20Paper.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,America,Caribbean,Saint Lucia,LCA,yes,,"Blue economy satellite accounts a comparative analysis of the blue economy in Seychelles, Saint Lucia and the Bahamas",2020,National,Ocean economic activity,Ocean Economy,No,No,Yes,No,No,,,,,,,Yes,Yes,,,BESA,,https://www.uneca.org/sites/default/files/SROs/BESA%20Draft%20Working%20Paper.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,America,Caribbean,Jamaica,JAM,yes,,Blue economy satellite accounts: Case study,data until 2017,National,Ocean economic activity,Ocean Economy,No,No,Yes,No,No,,,,,,,Yes,yes,,,BESA,,https://newenergyevents.com/blue-economy-caribbean/wp-content/uploads/sites/29/2019/10/2-Blue-Economy-Briefing-Dr.-Justin-Ram.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,America,North America,Canada,CAN,,,Canadian System of Environmental-Economic Accounting,2023 and ongoing,National,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,Yes,Yes,yes,Yes,,,,,,,,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810015301,https://www150.statcan.gc.ca/n1/pub/16-509-x/16-509-x2016001-eng.htm,https://www150.statcan.gc.ca/n1/pub/16-201-x/16-201-x2021001-eng.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,America,North America,Canada,CAN,,,Marine sectors in Canada,2020,National,Ocean economic activity,Ocean Economy,No,No,Yes,No,No,,,,,,,Yes,yes,,,,,https://www.dfo-mpo.gc.ca/stats/maritime-eng.htm,https://www.dfo-mpo.gc.ca/stats/mar-method-eng.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,America,North America,United States,USA,,,U.S.Marine Economy Satellite Account (MESA),2021,National,Ocean economic activity,Ocean Economy,No,No,Yes,No,No,,,,,,,Yes,yes,,MESA,,,https://www.bea.gov/data/special-topics/marine-economy,https://coast.noaa.gov/states/fast-facts/marine-economy.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Asia,,China,CHN,,,"Mangrove Assets and Ecosystem Services in Beihai, Guangxi",2018,Local,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,Yes,Yes,,Yes,,,,,,,,https://www.unescap.org/sites/default/d8files/2022-06/Ocean_Accounts_China.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Asia,,Indonesia,IDN,,,Ocean accounts Indonesia from pilot to national scale,Pilot (2022) - national ongoing,National,Environmental-Economic,"Environmental assets, flows to economy and flows to environment; Ocean economy; Governance",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,aggregation of flows to economy,yes,,yes,,,,,https://oceanaccounts.id/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Asia,,Malaysia,MYS,,,A Study on the Sustainability of Fisheries of the Straits of Malacca,2017,Local,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,Yes,,Yes,yes,,,,,,,,,https://www.unescap.org/sites/default/d8files/2022-06/Ocean_Accounts_Malaysia.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Asia,,Maldives,MDV,yes,,Natural capital accounting in Laamu atoll,ongoing,Local,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,Yes,Yes,partially,ongoing,,,,,,,,https://oceanaccounts.atlassian.net/wiki/spaces/WD/pages/982286360/Natural+Capital+Accounting+in+Laamu+Atoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Asia,,Myanmar,MMR,,,WAVES - Valuation of mangroves,2019,Local,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,No,Yes,Yes,,Yes,,,,,,,https://www.wavespartnership.org/en/knowledge-center/investment-analysis-mangrove-ecosystems-ayeyarwady-region,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.wavespartnership.org/sites/waves/files/kc/GPS_AnnualReport_2020_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Asia,,Philippines,PHL,,,Philippine Ocean Economy Satellite Accounts (POESA),2023,National,Ocean economic activity,Ocean economy,No,No,Yes,No,No,,,,,,,Yes,yes,,POESA,,,https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__2B__SA__POE/?tablelist=true,https://openstat.psa.gov.ph/database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Asia,,Korea,KOR,,,Ocean Economy Satellite Account in Korea,2021,National,Ocean economic activity,Ocean economy,No,No,Yes,No,No,,,,,,,Yes,yes,,yes,,,https://www.kmi.re.kr/web/board/download.do?rbsIdx=304&idx=35&fidx=1,https://cbe.miis.edu/cgi/viewcontent.cgi?article=1148&context=joce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Asia,,Thailand,THA,,,"A Study on Sustainable Tourism, the Environment and the Ocean",2016,Local,Environmental-Economic and Ocean economic activity,Ocean economy and flows to environment,No,No,Yes,Yes,No,Yes,,,,,,Yes,,yes,,,Yes,https://www.unescap.org/sites/default/d8files/2022-06/Ocean_Accounts_Thailand.pdf,https://stat-confluence.escap.un.org/download/attachments/16154963/08.02.04b%20ESCAP_OceanAccounts_Pilot_THA_ScopingReport_SEEA-TSA.pdf?version=1&modificationDate=1610434298981&api=v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Asia,,Vietnam,VNM,,,Viet Nam Ocean Account: Case Study in Quang Ninh Province,2020,Local,"Environmental-Economic, Ocean economic activity and Governance",Environmental assets; flows to environment; and governance,Yes,No,No,Yes,Yes,Yes,Yes,Yes,yes,,,,,,,,,https://www.unescap.org/sites/default/d8files/2022-06/Ocean_Accounts_Viet_Nam.pdf,https://www.oceanaccounts.org/viet-nam-ocean-account-case-study-in-quang-ninh-province/ ; https://oceanaccounts.atlassian.net/wiki/spaces/WD/pages/939098120/Viet+Nam+Ocean+Account?ref=oceanaccounts.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Asia,,India,IND,,,Ocean accounts reported at the SEEA global assessment,2024,National,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,Yes,Yes,yes,,,,,,,,,https://seea.un.org/content/envistats-india-environment-accounts-2024,https://www.mospi.gov.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Asia,,Qatar,QAT,,,Ocean accounts reported at the SEEA global assessment,2024,National,Environmental-Economic,Flows to economy,No,Yes,No,No,No,Yes,,,,,,,,,,,,https://www.npc.qa/ar/pages/default.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Europe,,Finland,FIN,,,Marine ecosystem accounting in Finland,ongoing,National,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes - WFD,commercial and recreational fis provisioning + coastal cultural ES,Yes,,,,,,,https://www.syke.fi/en-US/Ecosystem_Accounting/Projects_and_publications,https://maiaportal.eu/factsheets,https://maiaportal.eu/media-center/presentation?&download=604,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Europe,,France,FRA,,,Maritime economy - Activities with high added value and qualified jobs,2015,National,Ocean economic activity,Ocean economy,No,No,Yes,No,No,,,,,,,,yes,,,,,https://www.insee.fr/fr/statistiques/4219557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Europe,,France,FRA,,,Experimentation of marine ecosystems biophysical extent and condition accounts in France,2023,National,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,Yes,Yes,Yes - related to MSFD,,,,,,,,,https://www.chaire-comptabilite-ecologique.fr/Working-Paper-Experimentation-of-marine-ecosystems-biophysical-extent-and-331?lang=fr,https://maiaportal.eu/factsheets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Europe,,Ireland,IRL,,,"Valuing Ireland’s Coastal, Marine and Estuarine Ecosystem Services",2020,National,Environmental-Economic,Flows to economy,No,Yes,No,No,No,,,,,Yes,Yes,,,,,,,https://www.epa.ie/publications/research/water/Research_Report_239.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Europe,,Ireland,IRL,,,Ireland's Ocean Economy,2019,National,Ocean economic activity,Ocean economy,No,No,Yes,No,No,,,,,,,Yes,yes,,,,,https://www.universityofgalway.ie/media/researchsites/semru/files/Online_Irelands-Ocean-Economy-Report_for-web_final.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Europe,,Netherlands,NLD,,,SEEA Ocean Accounts for the Dutch North Sea,2024,National,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,Yes,Yes,Yes - related to MSFD,Yes,Yes,,,,,,,https://www.cbs.nl/-/media/_pdf/2024/12/cbs_2023_seea_ocean_account_dutch_north.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Europe,,Norway,NOR,,,MARine Ecosystem Accounting (MAREA) for integrated coastal planning in the Oslofjord,ongoing,Local,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,yes,yes,Yes,Yes,,,,,,,,https://maiaportal.eu/factsheets,https://marea-oslofjord.no/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Europe,,Norway,NOR,,,Norway- Ocean satellite account,2022,National,Ocean economic activity,Ocean economy,No,No,Yes,No,No,,,,,,,Yes,yes,,Ocean economy,,,first Norwegian ocean satellite accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Europe,,Portugal,PRT,,,Ocean Satellite Account 2016-2018,2018,National,Ocean economic activity,Ocean economy,No,No,Yes,No,No,,,,,,,Yes,yes,,Yes,,,https://www.ine.pt/ngt_server/attachfileu.jsp?look_parentBoui=569531189&att_display=n&att_download=y,https://www.ine.pt/xportal/xmain?xpid=INE&xpgid=ine_cnacionais2010b2016&contexto=cs&selTab=tab3&perfil=392025609&INST=391970535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Europe,,Scotland,SCO,,,Scotland’s Marine Economic Statistics,2019,National,Ocean economic activity,Ocean economy,No,No,Yes,No,No,,,,,,,Yes,yes,,Marine sectors,,,https://www.gov.scot/publications/scotlands-marine-economic-statistics-2019/pages/2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Europe,,Spain,ESP,,,Natural capital accounting pilot study in a protected marine area in the Balearic islands,2021,Local,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,Yes,Yes,partially,Yes,Yes,,,,,,,https://marilles.org/storage/media/2021/10/917/deliverable-ii-natural-capital-accounting-pilot-study-in-balearic-islands-mpa.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Europe,,Iceland,ISL,,,Ocean accounts reported at the SEEA global assessment,2024,National,Environmental-Economic,Flows to environment,No,No,No,Yes,No,yes,,,,,,,,,,,,https://px.hagstofa.is/pxen/pxweb/en/Umhverfi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Europe,,United Kingdom,GBR,,,"Marine accounts, natural capital",2021,National,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,Yes,Yes,Yes - related to MSFD,Yes,Yes,,,,,,,"https://www.ons.gov.uk/economy/environmentalaccounts/bulletins/marineaccountsnaturalcapitaluk/2021#:~:text=The%20UK%20marine%20natural%20capital,carbon%20removed%20by%20terrestrial%20habitats.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Europe,European Union,EU,,,,The EU blue economy report 2019,2019,Regional,Ocean economic activity,Ocean economy,No,No,Yes,No,No,,,,,,,Yes,yes,,,Yes,,https://op.europa.eu/en/publication-detail/-/publication/676bbd4a-7dd9-11e9-9f05-01aa75ed71a1/language-en/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Europe,North-East Atlantic,OSPAR,,,,"Natural capital accounting for the North-East Atlantic
 area: Preliminary results and first estimates",2021,Regional,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,Yes,Yes,,Yes,Yes,,,,,,,https://www.noordzeeloket.nl/publish/pages/193624/natural-capital-accounting-for-the-nort-east-atlantic-area.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Oceania,,Australia,AUS,,,Australia’s first National Ocean Ecosystem Account,2022,National,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,Yes,Yes,Yes,Yes,,,,,,,,https://eea.environment.gov.au/accounts/ocean-accounts/national-ocean-ecosystem-account,https://www.abs.gov.au/statistics/detailed-methodology-information/information-papers/measuring-and-valuing-australias-ecosystems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Oceania,,Australia,AUS,,,The AIMS Index of Marine Industry,2020,National,Ocean economic activity,Ocean economy,No,No,Yes,No,No,,,,,,,Yes,Yes,,,,,https://www.aims.gov.au/information-centre/aims-index-marine-industry,https://www.aims.gov.au/sites/default/files/2021-07/The%20AIMS%20Index%20of%20Marine%20Industry_final_21Jan2021_web.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Oceania,,Fiji,FJI,yes,,,,National,Environmental-Economic,Environmental assets and flows to economy; Ocean economy,Yes,Yes,Yes,No,No,,Yes,Yes,Yes,,yes,,yes,,,,,https://oceanaccounts.atlassian.net/wiki/spaces/WD/pages/939655169/Ocean+Accounts+for+Fiji+a+focus+on+Mangroves?ref=oceanaccounts.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Oceania,,New Zealand,NZL,,,NZ - Environmental-economic accounts,2020,National,Environmental-Economic,Flows to economy,No,Yes,No,No,No,Yes,,,,,,,,,,,,https://www.stats.govt.nz/information-releases/environmental-economic-accounts-2020-tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Oceania,,New Zealand,NZL,,,NZ - Environmental-economic accounts,2020,National,Ocean economic activity,Ocean economy,No,No,Yes,No,No,,,,,,,Yes,yes,,,,,https://www.stats.govt.nz/information-releases/environmental-economic-accounts-2020-tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Oceania,,Palau,PLW,yes,,,,Local,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Oceania,,Samoa,WSM,yes,,Ocean waste accounting pilot for Samoa,2021,National,Environmental-Economic and Ocean economic activity,Ocean economy and flows to environment,No,No,Yes,Yes,No,Yes,,,,,,yes,,yes,,,yes,https://eea.environment.gov.au/accounts/ocean-accounts/samoa,https://www.unescap.org/sites/default/d8files/2022-06/Ocean_Accounts_Samoa.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Africa,Western Indian Ocean,Nairobi Convention,,,,Nairobi Convention: Ocean Economy of the Western Indian Ocean,,Regional,Ocean economic activity,Ocean Economy,No,No,Yes,No,No,SNA/Input-Output model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
